scenario,source,target,path,cost,algorithm,note
distance,Tal as Sultan,Al Quds Open University - Gaza Branch,,,,no path
distance,Tal as Sultan,جامعة الازهر كلية الحقوق المغراقة,"['Tal as Sultan', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",22.1,dijkstra,ok
distance,Tal as Sultan,Islamic University - khanyonuis,"['Tal as Sultan', 'khan younes int', 'Islamic University - khanyonuis']",8.92,dijkstra,ok
distance,مستشفي الخير,مستشفى شهداء الاقصى,"['مستشفي الخير', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى']",10.0,dijkstra,ok
distance,مستشفي الخير,Gaza field hospital of the Jordanian-,,,,no path
distance,مستشفي الخير,مستشفى الشفا - مبنى الحروق,,,,no path
distance,مستشفي الخير,UNRWA vocational college,"['مستشفي الخير', 'UNRWA vocational college']",1.73,dijkstra,ok
distance,مستشفي الخير,UNRWA-GFO,"['مستشفي الخير', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",16.88,dijkstra,ok
distance,مستشفي الخير,Al Quds Open University - Gaza Branch,,,,no path
distance,مستشفي الخير,جامعة الازهر كلية الحقوق المغراقة,"['مستشفي الخير', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",17.47,dijkstra,ok
distance,مستشفي الخير,Islamic University - khanyonuis,"['مستشفي الخير', 'UNRWA vocational college', 'Al Qarara', 'Islamic University - khanyonuis']",9.92,dijkstra,ok
distance,مدرسة الفاخورة,مستشفى شهداء الاقصى,,,,no path
distance,مدرسة الفاخورة,Gaza field hospital of the Jordanian-,"['مدرسة الفاخورة', 'Gaza field hospital of the Jordanian-']",5.52,dijkstra,ok
distance,مدرسة الفاخورة,مستشفى الشفا - مبنى الحروق,"['مدرسة الفاخورة', 'مستشفى الشفا - مبنى الحروق']",4.76,dijkstra,ok
distance,مدرسة الفاخورة,UNRWA vocational college,,,,no path
distance,مدرسة الفاخورة,UNRWA-GFO,,,,no path
distance,مدرسة الفاخورة,Al Quds Open University - Gaza Branch,"['مدرسة الفاخورة', 'Al Quds Open University - Gaza Branch']",4.13,dijkstra,ok
distance,مدرسة الفاخورة,جامعة الازهر كلية الحقوق المغراقة,,,,no path
distance,مدرسة الفاخورة,Islamic University - khanyonuis,,,,no path
