scenario,source,target,path,cost,algorithm,note
risk,Az Zawayda,مستشفى شهداء الاقصى,"['Az Zawayda', 'مستشفى شهداء الاقصى']",1.86,dijkstra,ok
risk,Az Zawayda,Gaza field hospital of the Jordanian-,,,,no path
risk,Az Zawayda,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Az Zawayda,UNRWA vocational college,"['Az Zawayda', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",9.620000000000001,dijkstra,ok
risk,Az Zawayda,UNRWA-GFO,"['Az Zawayda', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",7.89,dijkstra,ok
risk,Az Zawayda,Al Quds Open University - Gaza Branch,,,,no path
risk,Az Zawayda,جامعة الازهر كلية الحقوق المغراقة,"['Az Zawayda', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",8.08,dijkstra,ok
risk,Az Zawayda,Islamic University - khanyonuis,"['Az Zawayda', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",10.11,dijkstra,ok
risk,Deir al Balah,مستشفى شهداء الاقصى,"['Deir al Balah', 'مستشفى شهداء الاقصى']",1.8,dijkstra,ok
risk,Deir al Balah,Gaza field hospital of the Jordanian-,,,,no path
risk,Deir al Balah,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Deir al Balah,UNRWA vocational college,"['Deir al Balah', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",9.559999999999999,dijkstra,ok
risk,Deir al Balah,UNRWA-GFO,"['Deir al Balah', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",7.83,dijkstra,ok
risk,Deir al Balah,Al Quds Open University - Gaza Branch,,,,no path
risk,Deir al Balah,جامعة الازهر كلية الحقوق المغراقة,"['Deir al Balah', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",8.02,dijkstra,ok
